Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches,Team,Playing Time.3
Wilson Odobert,fr FRA,FW,20.0,3.0,2,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,13.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.27,0.23,0.27,Matches,Tottenham-Hotspur,
Ben Davies,wls WAL,DF,31.0,2.0,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Mikey Moore,eng ENG,FW,17.0,4.0,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Tottenham-Hotspur,
Richarlison,br BRA,FW,27.0,5.0,0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,4.0,5.0,12.0,0.0,1.0,1.0,0.0,1.0,0.19,0.76,0.95,0.19,0.95,Matches,Tottenham-Hotspur,
Djed Spence,eng ENG,DF,24.0,4.0,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Lucas Bergvall,se SWE,"MF,FW",18.0,6.0,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14,0.33,0.47,0.14,0.47,Matches,Tottenham-Hotspur,
Archie Gray,eng ENG,"MF,DF",18.0,5.0,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur,
Brandon Austin,eng ENG,GK,25.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Alfie Devine,eng ENG,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Fraser Forster,eng ENG,GK,36.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Malachi Hardy,eng ENG,DF,16.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Will Lankshear,eng ENG,FW,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Callum Olusesi,eng ENG,MF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur,
Squad Total,,,25.8,12.0,132,1080.0,12.0,25.0,21.0,46.0,25.0,0.0,0.0,28.0,0.0,23.8,23.8,18.2,42.1,315.0,627.0,623.0,2.08,1.75,3.83,2.08,3.83,1.99,1.52,3.51,1.99,3.51,,Tottenham-Hotspur,
Opponent Total,,,26.9,12.0,132,1080.0,12.0,13.0,8.0,21.0,13.0,0.0,0.0,32.0,2.0,15.1,15.1,11.7,26.8,167.0,342.0,338.0,1.08,0.67,1.75,1.08,1.75,1.26,0.97,2.23,1.26,2.23,,Tottenham-Hotspur,
Murillo,br BRA,DF,22.0,,12,1080.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.4,9.0,37.0,3.0,0.08,0.0,0.08,0.08,0.08,0.04,0.07,0.11,0.04,0.11,Matches,Nottingham-Forest,12.0
Matz Sels,be BEL,GK,32.0,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest,12.0
Ola Aina,ng NGA,DF,28.0,,12,1041.0,11.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,27.0,50.0,21.0,0.09,0.0,0.09,0.09,0.09,0.01,0.03,0.04,0.01,0.04,Matches,Nottingham-Forest,12.0
Nikola Milenkovic,rs SRB,DF,27.0,,11,990.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.7,1.7,0.2,1.9,2.0,17.0,1.0,0.0,0.09,0.09,0.0,0.09,0.15,0.02,0.17,0.15,0.17,Matches,Nottingham-Forest,11.0
Chris Wood,nz NZL,FW,32.0,,11,917.0,10.2,8.0,0.0,8.0,7.0,1.0,1.0,1.0,0.0,4.5,3.7,1.0,4.7,7.0,10.0,28.0,0.79,0.0,0.79,0.69,0.69,0.44,0.1,0.54,0.36,0.46,Matches,Nottingham-Forest,12.0
Callum Hudson-Odoi,eng ENG,FW,24.0,,10,875.0,9.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,55.0,27.0,78.0,0.21,0.0,0.21,0.21,0.21,0.1,0.11,0.21,0.1,0.21,Matches,Nottingham-Forest,12.0
Anthony Elanga,se SWE,FW,22.0,,9,692.0,7.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.1,1.8,23.0,15.0,50.0,0.0,0.26,0.26,0.0,0.26,0.09,0.14,0.24,0.09,0.24,Matches,Nottingham-Forest,12.0
Alex Moreno,es ESP,DF,31.0,,9,685.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.0,1.1,17.0,27.0,20.0,0.0,0.13,0.13,0.0,0.13,0.02,0.13,0.14,0.02,0.14,Matches,Nottingham-Forest,9.0
Ryan Yates,eng ENG,MF,27.0,,8,899.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,0.7,2.1,11.0,27.0,9.0,0.1,0.0,0.1,0.1,0.1,0.14,0.07,0.21,0.14,0.21,Matches,Nottingham-Forest,12.0
Elliot Anderson,eng ENG,"MF,FW",22.0,,8,629.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.6,2.4,17.0,31.0,31.0,0.0,0.43,0.43,0.0,0.43,0.11,0.23,0.34,0.11,0.34,Matches,Nottingham-Forest,11.0
Morgan Gibbs-White,eng ENG,MF,24.0,,8,626.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.1,1.1,1.0,2.1,16.0,35.0,29.0,0.14,0.0,0.14,0.14,0.14,0.16,0.14,0.3,0.16,0.3,Matches,Nottingham-Forest,8.0
Nicolas Dominguez,ar ARG,"MF,FW",26.0,,7,582.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.0,0.8,7.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.12,0.12,0.12,Matches,Nottingham-Forest,10.0
James Ward-Prowse,eng ENG,MF,30.0,,5,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,1.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,Matches,Nottingham-Forest,6.0
Neco Williams,wls WAL,DF,23.0,,3,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,0.9,12.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.2,0.14,0.2,Matches,Nottingham-Forest,10.0
Ibrahim Sangare,ci CIV,MF,26.0,,3,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Nottingham-Forest,3.0
Taiwo Awoniyi,ng NGA,FW,27.0,,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Nottingham-Forest,9.0
Willy Boly,ci CIV,DF,33.0,,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Nottingham-Forest,2.0
Danilo,br BRA,MF,23.0,,1,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest,1.0
Jota Silva,pt POR,"MF,FW",25.0,,0,264.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.1,11.0,8.0,22.0,0.0,0.34,0.34,0.0,0.34,0.11,0.26,0.37,0.11,0.37,Matches,Nottingham-Forest,11.0
Ramon Sosa,py PAR,"FW,MF",25.0,,0,128.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,6.0,4.0,12.0,0.7,0.0,0.7,0.7,0.7,0.49,0.26,0.75,0.49,0.75,Matches,Nottingham-Forest,8.0
Morato,br BRA,DF,23.0,,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest,5.0
Harry Toffolo,eng ENG,DF,29.0,,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Nottingham-Forest,1.0
Eric da Silva Moreira,de GER,DF,18.0,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest,1.0
Carlos Miguel,br BRA,GK,26.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest,0.0
Andrew Omobamidele,ie IRL,DF,22.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest,0.0
Squad Total,,,27.0,,132,1080.0,12.0,15.0,8.0,23.0,14.0,1.0,1.0,32.0,2.0,14.5,13.7,10.2,23.9,224.0,353.0,349.0,1.25,0.67,1.92,1.17,1.83,1.21,0.85,2.06,1.14,1.99,,Nottingham-Forest,12.0
Opponent Total,,,26.9,,132,1080.0,12.0,13.0,9.0,22.0,12.0,1.0,1.0,43.0,1.0,12.3,11.5,9.1,20.7,310.0,610.0,607.0,1.08,0.75,1.83,1.0,1.75,1.03,0.76,1.79,0.96,1.72,,Nottingham-Forest,12.0
Emiliano Martinez,ar ARG,GK,32.0,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa,
Pau Torres,es ESP,DF,27.0,12.0,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,23.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,Matches,Aston-Villa,
Youri Tielemans,be BEL,MF,27.0,12.0,12,1063.0,11.8,0.0,4.0,4.0,0.0,0.0,1.0,3.0,0.0,1.3,0.5,2.9,3.5,18.0,89.0,13.0,0.0,0.34,0.34,0.0,0.34,0.11,0.25,0.36,0.05,0.29,Matches,Aston-Villa,
Morgan Rogers,eng ENG,"MF,FW",22.0,12.0,12,980.0,10.9,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.8,2.8,2.6,5.4,32.0,35.0,62.0,0.28,0.18,0.46,0.28,0.46,0.26,0.24,0.49,0.26,0.49,Matches,Aston-Villa,
Ollie Watkins,eng ENG,FW,28.0,12.0,12,929.0,10.3,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,6.4,6.4,1.0,7.5,18.0,5.0,60.0,0.58,0.19,0.78,0.58,0.78,0.62,0.1,0.72,0.62,0.72,Matches,Aston-Villa,
Lucas Digne,fr FRA,DF,31.0,12.0,11,863.0,9.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.4,2.9,5.0,15.0,52.0,0.0,0.21,0.21,0.0,0.21,0.05,0.25,0.3,0.05,0.3,Matches,Aston-Villa,
Ezri Konsa,eng ENG,DF,27.0,10.0,10,821.0,9.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,8.0,32.0,5.0,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,Matches,Aston-Villa,
Amadou Onana,be BEL,MF,23.0,10.0,10,703.0,7.8,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.6,1.6,0.1,1.7,8.0,23.0,6.0,0.26,0.0,0.26,0.26,0.26,0.2,0.02,0.22,0.2,0.22,Matches,Aston-Villa,
John McGinn,sct SCO,"FW,MF",30.0,10.0,8,620.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.5,2.5,12.0,29.0,30.0,0.0,0.15,0.15,0.0,0.15,0.15,0.21,0.36,0.15,0.36,Matches,Aston-Villa,
Leon Bailey,jm JAM,"FW,MF",27.0,11.0,8,584.0,6.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.3,1.7,27.0,19.0,53.0,0.0,0.31,0.31,0.0,0.31,0.08,0.19,0.27,0.08,0.27,Matches,Aston-Villa,
Jacob Ramsey,eng ENG,"FW,MF",23.0,10.0,7,633.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.3,2.0,28.0,28.0,54.0,0.0,0.28,0.28,0.0,0.28,0.1,0.18,0.28,0.1,0.28,Matches,Aston-Villa,
Matty Cash,pl POL,DF,27.0,7.0,6,470.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,9.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Aston-Villa,
Diego Carlos,br BRA,DF,31.0,7.0,5,560.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Aston-Villa,
Lamare Bogarde,nl NED,DF,20.0,3.0,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Aston-Villa,
Ross Barkley,eng ENG,MF,30.0,9.0,2,367.0,4.1,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.2,1.2,10.0,22.0,8.0,0.49,0.25,0.74,0.49,0.74,0.24,0.06,0.3,0.24,0.3,Matches,Aston-Villa,
Ian Maatsen,nl NED,DF,22.0,10.0,1,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,1.1,6.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.03,0.4,0.43,0.03,0.43,Matches,Aston-Villa,
Jaden Philogene Bidace,eng ENG,"FW,MF",22.0,8.0,1,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,0.0,0.4,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,Aston-Villa,
Jhon Duran,co COL,FW,20.0,12.0,0,311.0,3.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.4,2.4,0.1,2.5,4.0,7.0,19.0,1.16,0.0,1.16,1.16,1.16,0.69,0.03,0.72,0.69,0.72,Matches,Aston-Villa,
Kosta Nedeljkovic,rs SRB,DF,18.0,3.0,0,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa,
Boubacar Kamara,fr FRA,MF,25.0,3.0,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa,
Emi Buendia,ar ARG,"MF,FW",27.0,5.0,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.3,0.24,0.3,Matches,Aston-Villa,
Benjamin Broggio,eng ENG,FW,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa,
Joe Gauci,au AUS,GK,24.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa,
Tyrone Mings,eng ENG,DF,31.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa,
Robin Olsen,se SWE,GK,34.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa,
Sil Swinkels,nl NED,DF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa,
Kadan Young,eng ENG,MF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa,
Oliwier Zych,pl POL,GK,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Aston-Villa,
Squad Total,,,27.3,12.0,132,1080.0,12.0,18.0,16.0,34.0,18.0,0.0,1.0,32.0,1.0,19.2,18.4,14.6,33.0,224.0,428.0,425.0,1.5,1.33,2.83,1.5,2.83,1.6,1.21,2.82,1.54,2.75,,Aston-Villa,
Opponent Total,,,27.1,12.0,132,1080.0,12.0,19.0,13.0,32.0,18.0,1.0,2.0,40.0,1.0,14.6,13.0,10.3,23.3,207.0,377.0,371.0,1.58,1.08,2.67,1.5,2.58,1.21,0.86,2.07,1.08,1.94,,Aston-Villa,
Nick Pope,eng ENG,GK,32.0,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United,12.0
Bruno Guimaraes,br BRA,MF,27.0,,12,1062.0,11.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.2,1.9,15.0,82.0,13.0,0.0,0.08,0.08,0.0,0.08,0.06,0.1,0.16,0.06,0.16,Matches,Newcastle-United,12.0
Joelinton,br BRA,"MF,FW",28.0,,12,994.0,11.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.9,1.9,0.7,2.6,19.0,51.0,59.0,0.18,0.0,0.18,0.18,0.18,0.17,0.07,0.24,0.17,0.24,Matches,Newcastle-United,12.0
Dan Burn,eng ENG,DF,32.0,,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.2,0.7,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,Newcastle-United,11.0
Anthony Gordon,eng ENG,FW,23.0,,11,912.0,10.1,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,2.4,2.2,4.6,37.0,25.0,81.0,0.2,0.1,0.3,0.1,0.2,0.39,0.22,0.61,0.24,0.45,Matches,Newcastle-United,11.0
Alexander Isak,se SWE,FW,25.0,,10,854.0,9.5,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,1.3,6.4,19.0,15.0,58.0,0.42,0.21,0.63,0.42,0.63,0.53,0.14,0.67,0.53,0.67,Matches,Newcastle-United,10.0
Fabian Schar,ch SUI,DF,32.0,,10,837.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.8,0.8,0.2,1.1,7.0,41.0,9.0,0.11,0.0,0.11,0.11,0.11,0.09,0.02,0.11,0.09,0.11,Matches,Newcastle-United,10.0
Lewis Hall,eng ENG,DF,20.0,,9,876.0,9.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,2.0,2.1,18.0,58.0,26.0,0.0,0.1,0.1,0.0,0.1,0.01,0.21,0.21,0.01,0.21,Matches,Newcastle-United,12.0
Valentino Livramento,eng ENG,DF,22.0,,9,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,17.0,40.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Newcastle-United,12.0
Sean Longstaff,eng ENG,MF,27.0,,7,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.7,3.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches,Newcastle-United,11.0
Jacob Murphy,eng ENG,FW,29.0,,6,518.0,5.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.4,1.7,17.0,28.0,46.0,0.0,0.35,0.35,0.0,0.35,0.06,0.24,0.29,0.06,0.29,Matches,Newcastle-United,10.0
Harvey Barnes,eng ENG,FW,26.0,,5,540.0,6.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,2.3,2.3,2.0,4.3,27.0,28.0,58.0,0.67,0.17,0.83,0.67,0.83,0.38,0.33,0.71,0.38,0.71,Matches,Newcastle-United,12.0
Sandro Tonali,it ITA,MF,24.0,,4,444.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.3,1.0,5.0,16.0,12.0,0.0,0.2,0.2,0.0,0.2,0.15,0.05,0.2,0.15,0.2,Matches,Newcastle-United,10.0
Joe Willock,eng ENG,"MF,FW",25.0,,4,374.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.6,14.0,19.0,36.0,0.0,0.24,0.24,0.0,0.24,0.12,0.27,0.39,0.12,0.39,Matches,Newcastle-United,10.0
